0
7,MED 333,Dr Mercy,Evening,High Floor,Wednesday,[object Object]
8,CCM 405,Prof Kemboi,Afternon,ADB Building,Monday,[object Object]
5,HND 203,Ms Okello,Dawn,High Floor,Thursday,[object Object]
2,CIT 303,Ms Karen,Morning,F and D Workshops,Thursday,[object Object]
3,SMA 221,Mrs Mugunyi,Evening,ADB Building,Thursday,[object Object]
1,UCU 201,Mr Rwiji,Dawn,ADB Building,Wednesday,[object Object]
6,SMA 112,Mr Mugambi,Dawn,Engineering Labs,Thursday,[object Object]
4,BOM 232,Mr Kyalo,Morning,High Floor,Friday,[object Object]
10,BIT 205,Mr Omwami,Afternon,Pioneer Building,Tuesday,[object Object]
9,SMS 302,Ms Kalekye,Evening,Pioneer Building,Tuesday,[object Object]
11,BCM 202,Mr Harun,Evening,F and D Workshops,Thursday,[object Object]
12,CIT 303,Dr Eric,Afternon,High Floor,Thursday,[object Object]
13,SMS 207,Mr Kimani,Evening,ADB Building,Thursday,[object Object]
14,ECO 112,Ms Mugeni,Dawn,Computer Labs,Tuesday,[object Object]
15,FOI 321,Dr Fred,Dawn,Pioneer Building,Wednesday,[object Object]
26,iuyo,yoo,Afternon,Pioneer Building,Wednesday,[object Object]
